label,Busyness,Coarseness,Complexity,Contrast,Strength
0,0.060938045,0.008503627,2874.19,0.19188684,8.033939
0,0.121908724,0.0087762065,456.6108,0.06800376,3.5811749
0,1.6559764,0.009059257,17.972134,0.01720037,0.34990042
0,0.06175803,0.012682455,1289.5414,0.107070014,9.274975
0,0.34599727,0.007586041,305.20828,0.16366217,1.7260159
0,0.04562442,0.009565586,672.21027,0.06870386,3.7479925
0,0.053560194,0.008393129,5452.622,0.51643884,11.691427
0,0.033223934,0.007783438,10102.571,0.2795021,13.739312
0,9.220884,0.007437461,0.6723894,0.015451786,0.01659008
0,0.06832059,0.011531867,1040.4396,0.12236616,6.5959
0,0.037057105,0.0075511173,2542.6375,0.14506693,17.45948
0,1.0207763,0.0065699397,11.305284,0.006102434,0.392388
0,0.023561612,0.008642807,4418.133,0.10443631,12.545471
0,0.64278257,0.008101081,22.821558,0.022462882,0.39981794
0,3.359129,0.007005051,4.8390784,0.03354507,0.19888087
0,0.44165808,0.0019135338,4926.929,0.35609025,23.212244
0,3.514843,0.0061638094,5.282725,0.008377095,0.13136044
0,0.63989305,0.0077801365,30.541868,0.033495918,0.57955986
1,0.021652194,0.012642963,13522.626,0.5196106,37.21493
0,0.07381158,0.006349866,11003.247,1.0137113,12.497377
0,0.05517226,0.006483716,11329.867,0.7219508,10.671478
1,0.008507526,0.0138325095,1953.808,0.05460084,30.99968
0,0.04175953,0.006489879,6945.258,0.25810757,9.899316
0,0.025109569,0.009452518,4434.484,0.24687523,26.825985
0,0.089458406,0.010679577,1348.685,0.25595087,5.992499
0,0.032202538,0.005881838,18930.105,0.8518607,18.028204
0,0.03506212,0.008801384,5859.4917,0.1536922,24.737488
0,7.532382,0.008132535,0.6818151,0.009709341,0.01964838
0,0.024356643,0.00813394,7166.039,0.2213777,17.958755
0,0.22029734,0.0058134585,97.96223,0.036087014,0.49568087
0,0.05354619,0.009891792,1554.9187,0.15434778,5.6080594
0,0.12723391,0.0058568562,3679.8452,0.28221205,4.1656
0,0.56693727,0.009663872,174.73373,0.2642098,2.467703
0,0.058382004,0.007931625,1213.3278,0.08395022,13.140643
0,0.042253412,0.01037494,3017.9167,0.17479526,13.619732
0,3.2773159,0.005656338,6.695277,0.020587536,0.0728379
0,0.18969144,0.0025038105,16798.484,1.4910798,18.71936
0,0.19991876,0.0025726857,10385.928,1.1270274,32.72489
0,0.09613043,0.00471203,5998.575,0.96954066,17.602192
0,1.7189782,0.006444743,16.523474,0.0107914265,0.23196489
0,0.1546104,0.0035159108,9904.387,0.99220717,31.900879
0,0.04767941,0.011174095,2199.1843,0.2517322,10.499673
0,0.04274629,0.007284685,7324.69,0.34576088,10.287594
0,1.9213774,0.007869453,16.234253,0.024064759,0.2640398
0,6.125627,0.005580253,1.9487089,0.01484632,0.031396475
0,0.028913418,0.009235755,3349.8594,0.14855312,20.640816
0,0.07154722,0.008628877,1783.931,0.20694464,5.603916
0,4.2731566,0.0070159324,2.7062373,0.0061532822,0.08943217
0,0.06910597,0.009966136,978.3567,0.05937159,8.225773
0,0.46944895,0.0028519284,2693.4004,0.48204905,18.905846
0,0.31142336,0.0017450773,11810.858,1.491818,17.79039
0,0.040976007,0.0063624806,11055.492,0.639715,16.64234
0,0.025819011,0.006564227,25850.484,1.0515057,21.563179
0,0.02714774,0.005620461,39721.02,1.6187418,29.844719
0,2.3449035,0.00832303,12.564165,0.04577804,0.23300758
0,0.041767865,0.008321875,3864.7942,0.14017387,9.692504
0,7.2600384,0.008386659,1.6201966,0.038925927,0.040061347
0,0.25879154,0.007507219,536.8266,0.3278957,5.486441
0,0.041920878,0.010015877,3537.7668,0.25614825,11.464741
0,0.53331,0.0017618671,10299.115,1.0575311,21.994452
0,0.030088978,0.007323273,16548.447,0.5888637,16.547659
0,0.064222716,0.008204762,4363.7266,0.4708319,11.899388
0,0.0650064,0.010782011,1293.8989,0.30272755,5.7286873
0,0.109329976,0.0038648846,7775.57,0.7971991,13.178744
0,1.4421101,0.0062453686,12.92917,0.011265413,0.32732567
0,0.043601945,0.008849968,2840.386,0.21854222,8.759434
0,0.12815444,0.0069915224,672.95776,0.10712662,2.0415606
0,0.04795452,0.011079053,928.6292,0.084205486,9.346406
0,0.074953124,0.0073323627,2832.0925,0.13927914,8.894371
0,0.059880823,0.0057651424,6764.368,0.63011754,10.896815
0,5.1497083,0.011466782,6.0420647,0.05669572,0.35125485
0,0.06728256,0.010571595,753.0569,0.16182804,3.9811182
0,0.13155802,0.0036923313,4648.2812,0.8074364,6.778123
1,0.021116735,0.011654028,4333.6562,0.16277274,19.333326
0,0.0320617,0.008887556,11048.597,0.28453487,20.654308
0,0.031301916,0.007941778,12161.554,1.0696378,28.496456
0,0.74213105,0.008066402,22.202248,0.024453638,0.2913778
