label,GrayLevelNonUniformity,GrayLevelNonUniformityNormalized,GrayLevelVariance,HighGrayLevelZoneEmphasis,LargeAreaEmphasis,LargeAreaHighGrayLevelEmphasis,LargeAreaLowGrayLevelEmphasis,LowGrayLevelZoneEmphasis,SizeZoneNonUniformity,SizeZoneNonUniformityNormalized,SmallAreaEmphasis,SmallAreaHighGrayLevelEmphasis,SmallAreaLowGrayLevelEmphasis,ZoneEntropy,ZonePercentage,ZoneVariance
0,12.090535,0.024877643,190.25395,1512.0103,173.91975,28199.729,160.1799,0.003995004,215.41153,0.44323358,0.6923187,977.5491,0.0013634556,6.8505545,0.365139,166.41937
0,7.1374407,0.016913367,418.16528,2526.1067,1020.22986,29435.379,1013.55,0.0037277536,234.96683,0.55679345,0.77455527,1848.8997,0.0010159988,6.9149013,0.31705484,1010.282
0,3.8333333,0.31944445,1.7222222,115.5,57714.25,6582796.0,510.8304,0.009219489,1.8333334,0.15277778,0.3135484,36.81629,0.0028376614,3.251629,0.009015777,45411.742
0,14.108553,0.023204856,227.65057,1741.9868,17.804276,23661.531,6.7542305,0.0034744411,248.11842,0.40808952,0.66217697,1100.5498,0.0011182136,7.05935,0.4567994,13.011922
0,6.733333,0.4488889,0.91555554,124.86667,65117.934,7784368.5,546.02216,0.008254668,1.5333333,0.10222222,0.1203454,16.478498,0.00089484564,3.5068905,0.011269722,57244.33
0,18.554113,0.040160418,68.32133,3033.383,35.378788,104769.71,0.012311708,0.00037733998,175.4935,0.37985608,0.6399263,1881.5116,0.0002550059,6.5659356,0.34710744,27.078901
0,4.68,0.0936,12.7616,88.8,10514.94,60022.64,9813.027,0.044629723,11.36,0.2272,0.48523417,47.627357,0.010353705,4.9716635,0.03756574,9806.315
0,17.870308,0.030495405,86.63611,1010.85834,16.134811,16745.234,0.018036125,0.0015292258,224.13994,0.38249135,0.64050406,656.08453,0.0009901604,6.8372517,0.44027048,10.975867
0,7.7777777,0.43209878,1.7283951,24.555555,46645.61,1324938.2,1689.661,0.052667864,2.8888888,0.16049382,0.33741105,9.286313,0.016680487,3.530493,0.013523666,41177.832
0,5.7058825,0.33564013,2.698962,34.588234,53904.883,1870791.4,1576.0856,0.049415432,1.9411764,0.11418685,0.12194243,5.151479,0.00417838,3.7345216,0.0127723515,47774.914
0,4.255814,0.09897242,9.781504,65.16279,3298.4883,174759.2,390.88016,0.076429084,4.8139534,0.11195241,0.30934772,19.006578,0.031131828,5.147195,0.032306537,2340.3699
0,22.689516,0.045744993,48.844433,1725.879,24.377016,46297.15,0.0136002395,0.0007134694,195.56854,0.39429143,0.6526992,1093.5149,0.0004899757,6.3935027,0.37265214,17.176018
0,14.813708,0.026034636,172.52528,1283.7926,18.9297,23362.225,0.061606973,0.004293045,238.2232,0.41866994,0.6712755,819.06256,0.00322372,6.9674363,0.42749813,13.457884
0,10.1705885,0.029913494,176.02058,1736.0382,189.42647,160926.98,0.22949849,0.0008454278,158.10588,0.4650173,0.7086048,1337.2291,0.0005582665,6.619556,0.25544703,174.10155
0,10.101796,0.01512245,515.84906,3162.705,125.93563,16676.428,121.59727,0.0029198912,376.76947,0.5640261,0.77883357,2330.2207,0.0012413102,7.2357244,0.50187826,121.965515
0,18.335093,0.04837755,33.542374,965.16095,62.060684,71078.28,0.05637162,0.0012198407,116.4723,0.30731475,0.5706591,538.97455,0.0007310671,6.495628,0.28474832,49.727432
